skill_name,cluster_id
operate agricultural machinery,411
maintain equipment,336
cut fabrics,12118
lisp,9611
inspect heavy underground mining machinery,9718
military logistics,382
document prior learning assessments,12119
administer treatments to fish,11981
supervise unloading of cargo,9839
work with supporting team in community arts programme,854
identify plants characteristics,6099
perform environmental remediation,401
design an electric heating system,268
prepare mould for vacuum forming,8897
control engineering,11380
manufacture man-made fibres,1669
manage cargo handling,2780
implement cloud security and compliance,10125
use electrical wire tools,10749
maintain camping facilities,11877
assess performance in sport events,738
beverage products,8527
conduct post tanning operations,455
prepare site for construction,9588
follow water supply schedule,9237
tend hot extrusion machine,9644
prepare animals for anaesthesia,244
interact verbally in croatian,273
escapee contingency plans,8240
operate oxy-fuel cutting torch,489
work with an artistic team,4562
develop corporate training programmes,142
create digital content,8927
maintain lighting equipment,11858
set up media integration systems,2261
market research,11781
immunohaematology,816
develop environmental policy,11195
repair vehicle electrical systems,10494
prepare financial auditing reports,12069
respiratory medicine,8242
handle radiopharmaceuticals,835
design geothermal energy systems,11901
perform clinical coding procedures,9501
electrical safety regulations,1912
operate turf management equipment,167
draw stage layouts,9162
understand written belarusian,666
design microclimates in buildings,9163
develop gambling games,1421
apply music therapy methods,21
inspect maritime operations,10863
market entry strategies,9763
assemble microelectromechanical systems,156
person centred care,11603
supervise dental staff,141
develop food policy,11928
implement sales strategies,11653
project management,243
interact verbally in czech,729
machine tools,11569
neurophysiology,479
perform metal active gas welding,11291
anchors used in inland water transport,8235
memorise lines,8420
safe work practices in a veterinary setting,11986
animal production science,12075
use cae software,7957
maintain mine machinery,10390
apply freinet teaching strategies,10327
parasitology,11354
create flower arrangements,9942
understand written yiddish,2185
psychological counselling methods,8650
pesticides sprayers,11893
manage digital identity,10980
manage rainwater,9905
carry out equine dental procedures,2426
manage ground maintenance,2627
execute marketing plan,656
maintain laboratory equipment,177
interpret findings from medical examinations,7941
metalworking tools,394
provide customised products,7418
blend tobacco leaves,10533
care for horses,12
participate in the development of new food products,32
research welding techniques,819
manage warehouse organisation,201
enforce railway safety regulations,303
develop hazardous waste management strategies,12029
footwear and leather goods marketing planning,660
product usage risks analysis,11633
design microelectromechanical systems,733
implement evaluation methods in music therapy,597
create puppets,691
neuropsychiatry,11588
set up aquaculture cage mooring system,11535
hot vulcanisation,7875
design materials for multimedia campaigns,7219
set up pricing strategies,10396
manage sumps,11007
design miniature sets,531
prevent theft,10916
thermal materials,9483
cadd software,11739
business process modelling,11247
design an artificial lighting system,76
use water navigation devices,877
repair electric bicycles,9552
narrow web flexographic printing press,11480
inspect electrical supplies,6978
apply footwear bottoms pre-assembling techniques,1229
conduct mobile marketing,7495
create 3d characters,11005
animal training,459
mathematical economics,7523
provide health psychological treatment advice,369
perform paediatric surgery,7739
maintain personal hygiene standards,2399
apply colour grading,7576
maintain pipeline coating properties,485
communicate using the global maritime distress and safety system,10215
design a solar absorption cooling system,8041
create production schedules,311
monitor larval development,8206
use dialect,6201
follow safety procedures when working at heights,8878
advise on chemical use reduction,11949
analyse types of footwear,7689
stem cells,8413
select fruits and vegetables,11726
measure sugar refinement,10799
assemble video tape footage,8607
adjust the varnish mixture,9838
carry out maintenance of aquaculture equipment,329
e-procurement,9296
landscape architecture,578
develop green compounding solutions,11252
operate distilling equipment,911
maintain desalination control system,10537
execute integration testing,6509
apply sport games rules,1201
inspect sewers,10556
operate specialised equipment in emergency,1257
lawn care,9937
draw sketches to develop textile articles using softwares,9924
manual draughting techniques,11475
implement customer follow-up,3022
liaise with educational support staff,8211
counsel on end-of-life care,9298
develop a choreographic language,11224
collect damages,9803
perform small vessel safety procedures,10047
provide palliative care,519
wicker materials,12011
operate forestry equipment,3122
provide health education,8086
conflict management,1584
develop microelectromechanical system test procedures,400
test the rail-flaw-detection machine,11594
operate stage movement control system,10507
control train movement,10425
tourism sector policies,9367
analyse internal factors of companies,7530
social innovation,9623
collect aquatic resources,2620
transport fish,482
evaluate psychological health measures,700
prevent undesired changes to sound design,10923
provide medication information,10097
manage recirculation systems,931
initiate contact with sellers,6603
tolerate stress,10664
perform fish grading operations,11802
interview animal owners on animals' conditions,10405
interact verbally in tamil,11144
make abstracts,11537
international regulations for cargo handling,190
apply fish harvest methods,11595
operate rotary press,8030
support veterinary diagnostic procedures,1194
implement strategic planning,1842
promote agricultural policies,1034
preserve airport maintenance equipment,11164
integrate ict data,596
conduct performance measurement,10264
operate fishing equipment,374
develop organisational policies,324
measure fruits or vegetables,59
create storyboards,41
ict recovery techniques,1591
instruct library users in digital literacy,512
leather goods manufacturing processes,687
ict project management,1144
urolithiasis in the urinary tract,10307
supervise script preparation,6310
understand written ancient greek,650
apply hair cutting techniques,169
operate private branch exchange,11391
thanatology,6467
operate forklift,11612
ensure maintenance of the advertising furniture,11210
manufacture woven fabrics,367
examine budgets,790
apply footwear uppers pre-assembling techniques,1229
blockchain history,9285
maintain pharmaceutical records,11203
protective safety equipment,987
envelope systems for buildings,7617
drive ambulance under non-emergency conditions,11307
drip candles,8603
demonstrate functionality of video games,307
coordinate shipments of waste materials,11493
prepare timelines for pipeline development projects,6899
leather goods materials,687
conduct foster care visits,8594
perform water analysis,11709
maintain vehicle records,7820
earth science,10681
supervise accounting operations,7088
engage with stakeholders,262
apply soldering techniques,9828
cut vacuum formed workpiece,6245
teach windsurfing,6437
calculate oil deliveries,7250
promote recreation activities,422
manage waste rock,8469
manage changes in ict system,11611
operate corrugator,8423
management consulting,7408
design training programmes for animals,9256
operate offset printing machine,282
synthesise information,7483
schedule recreation facilities,8982
develop calibration procedures,1085
apply radiation protection procedures,1407
explain financial jargon,2437
weigh shipments,7665
tend hot rolling mill,8697
apply airport lighting maintenance procedures,2349
create plant displays,10869
create brand guidelines,7789
administer radiation treatment,576
trade future commodities,7861
environmental legislation,402
provide fitness customer care,11846
organise rehearsals,914
design dams,7209
simplify communication in maritime management,8854
maintain extrusion machines,7477
accept feedback on artistic performance,9411
adjust feeder tubes,7675
stock market,488
provide specialist pharmaceutical advice,905
advise on medical products,10611
hospitalised animal nursing care,1088
tend cnc grinding machine,1431
explain interview purposes,7503
fit low vision aids,8339
polish stone by hand,1585
prepare ready-made dishes,8409
draw blueprints,1824
quantum mechanics,10250
monitor the discharge of cargo,6250
advertise auction sales,8506
standards for web-based e-learning,8567
adjust scraper bars,6574
adapt developed game to the market,6387
hazards associated with loading dangerous goods,8649
manage import export licenses,8698
use communication devices,10255
electron beam welding processes,1213
software anomalies,8775
develop standard operating procedures in the food chain,8811
asbestos removal regulations,8845
metal bending techniques,8078
test fragrances against customer satisfaction,8899
contextualise artistic work,8936
monitor chemical process condition,8963
monitor bond market,9027
product packaging requirements,12096
investigate contamination,8909
manufacturing of smoked tobacco products,322
informatica powercenter,9191
investigate complaints related to consumer protection,9176
operate bottom supported cable-propelled vehicles,8885
select acupuncture points,9228
evaluate coffee characteristics,11102
make decisions regarding forestry management,11304
handle building materials,9996
legal requirements of ict products,6752
astrology,11673
questioned document examination,9218
assess social work students,9018
herpetology,9883
textile measurement,9912
encourage counselled clients to examine themselves,6809
monitor operations of cleaning machines,9592
maintain wardrobe,9615
tend drop forging hammer,7208
maintain genetic registers,9719
mechanics of vessels,9721
spread fertiliser,10368
protect surrounding area during chimney sweeping process,9778
manage engineering project,9550
scan negatives,11246
e-learning software infrastructure,9857
perform virological test,8920
follow ethical code of conduct of journalists,9945
make set construction drawings,7007
code of conduct for responsible fisheries,10004
document evidence,10184
wash gutted fish,10667
dry coated workpieces,6977
manage consumables stock,10115
monitor the conformance to the project methodology,9605
use technical documentation,9809
maintain financial records,2405
plan daily ship operations,7164
manufacture fur products,10825
manage vehicle inventory,8397
use animal chiropractic techniques,9255
sizes of paper,9799
illegal substances,8140
advise on geophysical procedures,11271
create 3d texture map,9725
label foodstuffs,178
advise on merchandise features,10535
manufacture wearing apparel products,11288
use laboratory equipment,11996
roofing drones,8713
paint spraying techniques,188
install irrigation systems,116
handle linen in stock,11043
kinanthropometry,1040
attend parliament plenaries,10767
diplomatic principles,10187
handle data samples,11117
help set performance schedule,10951
draft project documentation,10251
manufacture weft knitted fabrics,11609
cognitive psychology,1442
remove road surface,11083
government policy implementation,11939
armenian,992
sort textile items,11121
use hair removal techniques,236
control livestock disease,11523
think analytically,11191
hydrocarbon cracking techniques,11807
maintain stocks of veterinary materials,11253
apply import strategies,11319
promote cultural venue events,696
perform fuel reconciliation,8361
refraction of the eye,9251
design buildings,10112
social alliances,8655
first aid for animals,9884
register mail,10571
provide clinical psychological expert opinions,9907
food ethics,11929
interact verbally in bengali,11635
transfer logs,8821
prevent sea pollution,8663
holography,11809
perform laboratory tests,11615
communicate with media,663
clinical immunology,816
apply antibacterial substance to teeth,6519
repair windshield wipers,11891
budgetary principles,8375
forensic physics,11979
work in a construction team,6378
arrange student accommodation,7393
inspect aquaculture equipment,329
assemble automotive batteries,94
court interpreting,11303
printed circuit boards testing methods,11417
offer advice on diet-related concerns,6093
interpret technical requirements,49
measure ph,7391
lay interlocking roof tiles,9353
tools for ict test automation,12082
condiment manufacturing processes,7885
"diagnose diseases of ear, nose, and throat",6200
prototyping development,11232
handle high voltage of airport lighting,6148
barbering techniques,169
develop mobility programmes,9342
develop predictive models,11879
supervision of persons,9325
grade engineered wood,11703
monitor educational developments,10496
use equipment for hair care,6414
golf,6343
pesticides,1289
types of tile,10940
relay messages through radio and telephone systems,6394
manage pawnshop inventory,6412
deal with challenging people,6908
radiotherapy,576
strive to conserve the composition of water,11706
plan mine operations,1344
repair insulating tube winding machinery,632
analyse the comments of selected audiences,10331
psychology,1442
inspect contracts for related grounds maintenance work,11487
graphite,6539
perform in-circuit test,11991
climatology,12121
collection management,1656
clinical perfusion,9120
use venepuncture procedure equipment,466
decide on infestation treatment type,6952
oversee harvest process,10774
exercise self-control,10093
evidence-based nursing care,8444
inspect semiconductor components,6713
types of wave energy converters,11033
understand written latvian,551
perform regular checks on rigging equipment,11237
internet governance,8847
nuclear medicine,2508
operate warehouse record systems,11778
fertiliser products,776
estimate costs in farm,10881
manage emergency care situations,1322
lead technology development of an organisation,9377
perform playground surveillance,6897
mix concrete,11830
maintain heat sealing machinery,217
help coordinate promotional activities,9978
inspect construction sites,11828
engineer seismic equipment,1784
keep records of bridge investigation findings,6989
manage business knowledge,837
match frames to pictures,7025
manage instrumentation systems,480
install electrical mining machinery,2257
demonstrate intercultural competence,2878
ibm infosphere datastage,11813
handover the food preparation area,6751
film music techniques,7127
crowdfunding,10659
breed goats,8740
solve location and navigation problems by using gps tools,7155
analyse consumer buying trends,7178
implement inland water transport regulations,10831
inspect animal carcasses,10674
estimate value of musical instruments,8990
sanitary technology,8984
inspect planed woodstock,7159
develop architectural plans,234
teach translation techniques,10736
dangers of marshalling activity,7317
perform scientific research,292
follow health and safety precautions in social care practices,7205
handle honeycombs,7387
design miniature props,6540
coordinate construction activities,7388
communicate price changes,7439
install water purity mechanism,6969
report airport security incidents,8173
enforce company values,7445
apply art therapy interventions,203
plan rig moves,10170
adolescent socialisation behaviour,9934
evaluate entertainment programme,10487
tend metal fastener machine,388
photoengraving,6192
assist multimedia operator,8157
use mine planning software,1344
"operate presses, dryers and control systems",10549
train religious professionals,7597
coach young people,7626
weigh fruits and vegetables,59
sales argumentation,8891
protect important clients,701
analyse ship operations,10853
query languages,7313
undertake clinical chiropractic research,11888
community-led local development,9452
apply research ethics and scientific integrity principles in research activities,7727
adapt to changes on a boat,7743
attach accessories to tile,7763
understand written italian,613
emission standards,7826
position sole plates,8715
use stonemason's chisel,486
subsidiary operations,6386
file-based workflow,7939
implement airside safety procedures,11791
pack leather,10459
repair damaged paper parts,7929
keep stock records,8038
prepare tax returns forms,7623
spanish,11509
operate automatic cutting systems for footwear and leather goods,1387
design safety equipment,9846
contract law,8017
interpret mechanical mine machinery manuals,12071
execute safety assurance exercises,11063
renewable energy,592
analyse financial performance of a company,6756
jewellery product categories,8092
make bowstrings,8109
perform office routine activities,7325
study court hearings,11216
conduct research on trends in design,8743
clean aquaculture stock units,9789
understand written danish,1280
mechanical clocks,11030
develop computer vision system,9336
separate ink,11932
oversee the printing of touristic publications,907
understand spoken arabic,1324
clean chimney,11623
quality criteria for storage facilities,8306
participate in vine maintenance,8319
report on window damage,8333
liquidity management,8403
manage zoo staff,8367
assess students' preliminary learning experiences,8822
provide pre-natal care,1303
handle requests for new product items,8471
speak about your work in public,10800
check bottles for packaging,7664
determine cause of damage,8472
develop new installations,9297
carry out active selling,8505
turf management,11910
convert scribbles into virtual sketches,8631
types of sprinklers,8552
adjust fermentation processes,8562
impact of politics on sport delivery,10781
bakery ingredients,710
design brand's online communication plan,8116
operate hoists,8620
cure tobacco leaves,566
support victims of human rights violations,11048
manage diversification of maritime operations,8685
hinduism,12129
document survey operations,6335
apply techniques of occupational therapy,12040
manage enrolment,9969
give battle commands,8716
operate road marking machine,7095
fabricate metal parts,2590
surgical instruments,6698
assembling processes and techniques for cemented footwear construction,1462
coordinate oil well operations,8842
manage fluid production in gas,11799
ensure fulfilment of legal requirements,11967
relaxation techniques,6946
operate smelter,10755
