name,openalex_id,works_count,cited_by_count,last_known_institution
Thaweephol Dechatiwongse,A5087696180,14,410,Fukuoka University
Bijay B. Pradhan,A5087955036,14,298,Thammasat University
Panjaporn Wongwitthayakool,A5089761736,14,29,Thammasat University
Panwad Chavalekvirat,A5092575969,14,118,Thammasat University
Alekos A. Theologis,A5107908787,14,574,Centers for Disease Control and Prevention
Kesara Na-Bangchang,A5110359899,14,187,Thammasat University
Neal M. Davies,A5113050375,14,39,University of Alberta
Bootsrapa Leelawat,A5001492010,13,65,Thammasat University
Anh Vu,A5001550052,13,91,"University of Nevada, Reno"
Pramote Sriwanitchrak,A5003782172,13,96,Thammasat University
Songsakdi Rongviriyapanish,A5004414461,13,58,Pathumthani University
Ruengwit Khwanrit,A5005544085,13,71,Japan Advanced Institute of Science and Technology
Lumpapun Punchoojit,A5005563917,13,238,King Mongkut's University of Technology North Bangkok
Kanyaluck Jantakee,A5005937146,13,209,Chiang Mai University
Arslan Qayyum Khan,A5006194518,13,118,Thammasat University
Tobias Metzler,A5007624827,13,31,University of Southampton
Sarawut Sirithammajak,A5007799725,13,388,National Science and Technology Development Agency
Deepshikha Bhargava,A5007893699,13,151,Barkatullah University
Rajendra Prasad Bohara,A5009553665,13,436,The University of Melbourne
Patcharaporn Wongchadakul,A5013018472,13,117,Royal Academy of Fine Arts
Apitchaya Chaiwutikornwanich,A5013257079,13,129,Universidad San Francisco de Quito
Ahmad Shodiq,A5013279485,13,12,Universitas Kanjuruhan
Panarat Anamwathana,A5014796260,13,17,Thammasat University
Kanyada Leelasittikul,A5015528980,13,24,Thammasat University
Narin Watanakul,A5015772915,13,22,Thammasat University
Srinuan Somroop,A5016763610,13,78,Thammasat University
Niramol Sakkayawong,A5016967496,13,484,Thammasat University
Surasak Srimongkolpitak,A5017572150,13,45,Queen Saovabha Memorial Institute
Jittiporn Ruangtong,A5018299840,13,186,Thammasat University
Tantikorn Pichpibul,A5018499557,13,134,Thammasat University
Yodsathorn Wongngam,A5022017692,13,80,National Nanotechnology Center
Kornphanat Tungkeunkunt,A5023220902,13,85,Thammasat University
Panichakorn Jaiyong,A5023496016,13,408,University of Manchester
Somsak Fongsupa,A5027704958,13,91,Mahidol University
Rachapoom Punsongserm,A5027873198,13,43,Thammasat University
Pimolvan Tappayuthpijarn,A5031488557,13,29,Thammasat University
Tunlanut Sapankaew,A5031713367,13,97,Mahidol University
Sirisilp Kongsilp,A5033169049,13,126,Asian Institute of Technology
Parichart Pattarapanitchai,A5033893264,13,10,Chiang Mai University
Thongchai Suntharapa,A5034023320,13,59,Thammasat University
Suphattra Trakanwittayarak,A5034512402,13,180,Mahidol University
Jerry E. Vincent,A5035123095,13,115,Seva Foundation
Tinh Huu Ho,A5035497954,13,50,Thammasat University
Stuart J. Gordon,A5036406956,13,763,University of KwaZulu-Natal
Suriyan Panlay,A5036884252,13,10,Thammasat University
Thanundorn Thanusuwannasak,A5038474416,13,200,Creative Commons
Ar-aishah Dadeh,A5038566115,13,84,Songklanagarind Hospital
Somchai Supattarakul,A5038691522,13,155,Thammasat University
Kasama Pooseesod,A5039622382,13,78,Thammasat University
Nasith Laosen,A5039723568,13,38,Phuket Rajabhat University
Thanet Aphornsuvan,A5041994876,13,43,Hodges University
Anthicha Kunjantarachot,A5042865248,13,91,New York State College of Veterinary Medicine
Decha Tangseefa,A5044209014,13,555,Papua New Guinea Institute of Medical Research
C. Wichittanakom,A5044230568,13,160,Thammasat University
Ahalya Ravendran,A5044943407,13,32,Australian Centre for Robotic Vision
Papichaya Phompradit,A5046337527,13,202,Thammasat University
Kasem Theerakittayakorn,A5046363750,13,166,Suranaree University of Technology
Kanpitcha Jiramitmongkon,A5046531302,13,202,Thammasat University
Pichawadee Kittipanya‐ngam,A5048833487,13,399,University of Cambridge
Panuroot Aguilar,A5051235352,13,540,Chulalongkorn University
Rattalerk Arunakul,A5051875303,13,70,"University of California, Irvine"
Samerchai Poolsuwan,A5051936605,13,98,Thammasat University
Pornthep Sarakon,A5052571282,13,47,King Mongkut's University of Technology North Bangkok
Yonatan Hutabarat,A5053571778,13,168,Universitas Gadjah Mada
Panita Meananeatra,A5053947216,13,97,Thammasat University
Thanan Yomchinda,A5054664877,13,95,Pennsylvania State University
Muhammad Jamilu Ibrahim,A5057185870,13,30,Bayero University Kano
Chanika Gampper,A5058932497,13,53,Thammasat University
Lantarima Bhoopat,A5064004087,13,114,University of North Carolina Health Care
Teeranut Harnirattisai,A5064512118,13,79,University of Missouri
Pantisa Pavabutr,A5065033989,13,137,The University of Texas at Austin
Kuson Tuntiwong,A5066465052,13,29,Pathumthani University
Sugunya Utaida,A5067939325,13,497,Thammasat University
Ilse Biesmans,A5068231149,13,385,Addex Therapeutics (Switzerland)
Do-Van Nguyen,A5068818841,13,105,Le Quy Don Technical University
Preecha Wanichsetakul,A5069059458,13,102,Thammasat University
Sopon Sanguanwong,A5070527616,13,99,Phramongkutklao Hospital
Montree Namkajorn,A5071001945,13,179,Thammasat University
Chanin Mephokee,A5076378325,13,16,Thammasat University
Podsawee Mongkolpathumrat,A5076387463,13,79,Chiang Mai University
Jakkree Tangthianchaichana,A5076434351,13,113,Beijing University of Chinese Medicine
Rattapong Sungnoon,A5077381464,13,128,Thammasat University
Pataravit Rukskul,A5078270678,13,59,Thammasat University
Hector Lim,A5078406386,13,85,Thammasat University
Janvit Tippinit,A5079292068,13,9,Thammasat University
Wisarttra Phamonpon,A5080081362,13,104,Cornell University
Supawat Supakwong,A5081079247,13,14,Thammasat University
Preeyaporn Reanpang,A5081091088,13,224,Lampang Hospital
Kruawan Wongpanya,A5083524283,13,30,King Mongkut's Institute of Technology Ladkrabang
Naim Laeni,A5086539197,13,146,Thammasat University
Thanitsara Wetchateng,A5088120653,13,66,Thammasat University
Sayambhu Saita,A5088840683,13,144,Thammasat University
Amonpon Kanlerd,A5089830448,13,82,University of New Mexico
Yupin Phuphuak,A5091136143,13,222,Bipar
Yiyuan Ding,A5102261072,13,154,Carleton University
Md. Moqbul Hossain,A5103951679,13,521,Bangladesh Institute of Development Studies
Hamdi Sahraoui,A5108621832,13,53,University of Carthage
Phakphoom Boonyanant,A5109010417,13,42,National Electronics and Computer Technology Center
Duangkamol Danwanichakul,A5109261414,13,85,Thammasat University
Duy Nguyen Duc,A5109476109,13,121,Thammasat University
Prajak Kongkirati,A5112634039,13,223,Thammasat University
Benjamas Kamanikom,A5000227247,12,406,Mahidol Oxford Tropical Medicine Research Unit
Tu Phuong Pham Le,A5000476065,12,78,Khalifa University of Science and Technology
Cedric Kulbach,A5000976929,12,53,Thammasat University
Nuchada Dumrongsiri,A5001849434,12,82,Assumption University
Pitchayanin Sukholthaman,A5001867332,12,303,Thammasat University
Kritchayan Intarat,A5003590031,12,13,Thammasat University
Suwanna Cowawintaweewat,A5005343034,12,92,Thammasat University
Ilse Van der Linden,A5005924192,12,446,University of Wollongong
Piyawat Piyasin,A5007666002,12,66,Khon Kaen University
Anurak Cheoymang,A5008006035,12,64,Chulalongkorn University
Chalermsup Karanjakwut,A5010241123,12,10,Thammasat University
Jantarima Charoenphandhu,A5011052503,12,288,Mahidol University
Ekarat Sombatsawat,A5011439957,12,67,Thammasat University
Hong Chen,A5011788444,12,16,Thammasat University
Naphatsanan Duansak,A5012873751,12,75,La Jolla Bioengineering Institute
Apichart Kanitsap,A5013810766,12,97,Siriraj Hospital
Suphagan Boonpethkaew,A5014207946,12,42,Mahidol University
Korlid Thinkohkaew,A5014761764,12,184,Chulalongkorn University
Kannapa Pongponrat,A5014870203,12,233,Mahidol University
Aakash Thapa,A5017310400,12,90,Thammasat University
Buncha Munmuangsaen,A5017631547,12,362,Thammasat University
Nattapon Jaisumroum,A5018724897,12,33,Mahidol University
Pranom Othaganont,A5019171964,12,50,Thammasat University
Desire Rwodzi,A5019417657,12,33,Thammasat University
Kodchakorn Samakun,A5021033292,12,21,Thammasat University
Sairag Saadprai,A5021357873,12,1,Thammasat University
Asan Suwanarit,A5021849858,12,238,Thammasat University
Porntep Chomcheon,A5022495719,12,306,Chulabhorn Graduate Institute
Umaporn Thathaisong,A5023351266,12,719,Thammasat University
Rossukon Thongwichian,A5023599055,12,417,Leibniz Association
Jigme Thinley,A5023858870,12,44,Naresuan University Hospital
Neil Gains,A5024553662,12,498,UNSW Sydney
Narongsak Pongsathornwiwat,A5026043696,12,97,Thammasat University
Sarita Ratana‐Amornpin,A5026132500,12,74,Mahidol University
Piyamon Poapongsakorn,A5026168914,12,186,Thammasat University
Siripen Pesee,A5026569788,12,146,Thammasat University
Nucharee Chongboriboon,A5026788603,12,30,Thammasat University
Karishma Agrawal,A5028745552,12,30,Universitat Politècnica de València
Alisara Rungnontarat Charinsarn,A5029575002,12,44,Thammasat University
Kacha Chansilp,A5036394029,12,24,Mahidol University
Jonathan Turcotte-Summers,A5036894033,12,11,Concordia University
Atirach Ritboon,A5036987845,12,42,Palacký University Olomouc
Siwaporn Klinmalai,A5037015809,12,13,Kyoto University
Kanoklada Srikuea,A5037759332,12,56,Thammasat University Hospital
Pornraht Pongprasert,A5038237122,12,143,Saitama University
Prapaporn Jattujan,A5039011732,12,286,Khon Kaen University
Pongsak Choktaweekarn,A5040151489,12,202,Thailand National Metal and Materials Technology Center
Saw Win Tun,A5040674854,12,518,Inserm
Nguyen Tien Dat,A5043103492,12,76,Voronezh State University
Sudawadee Kongkhum,A5043107981,12,63,Thammasat University
Jurairat Boonruab,A5043301543,12,75,Creative Commons
Suwimon Saneewong Na Ayuttaya,A5044843630,12,57,Thammasat University
Duangrat Eungdamrong,A5046109486,12,57,University of Wisconsin–Milwaukee
Apichat Buatik,A5046882328,12,152,Thammasat University
Nattaphol Uransilp,A5047136666,12,81,Thammasat University
Paitoon Varadejsatitwong,A5048097876,12,301,Thammasat University
Ploypailin Tantrapornpong,A5048338429,12,171,Mahidol University
Ria Wouters,A5048455347,12,465,Janssen (Belgium)
Pattama Krataithong,A5048606858,12,36,Thammasat University
Suda Jirasakuldej,A5048645677,12,68,Chulalongkorn University
Puritat Kanokkangsadal,A5049596576,12,64,Thammasat University
Nipaporn Sankuntaw,A5049909001,12,124,Khon Kaen University
Chitima Kulchanarat,A5050642961,12,50,Thammasat University Hospital
Wanny Oentoro,A5052207009,12,67,Assumption University
Novi Sulistyaningrum,A5052905217,12,88,Thammasat University
Susilo Sudarman Desa,A5053041878,12,100,Thammasat University
Kamphol Promjiraprawat,A5053162330,12,137,Ramkhamhaeng University
Mansuang Wongsapai,A5053704713,12,23,Thammasat University
Nadthaganya Suwanlikhid,A5054691074,12,110,Chiang Mai University
Piya Techateerawat,A5055029165,12,130,Thammasat University
Chinnakart Boonyasirikool,A5055117680,12,130,Thammasat University Hospital
Kulpatra Sirodom,A5056611233,12,154,Thammasat University
N. Plucktaveesak,A5057336842,12,395,Massachusetts Institute of Technology
Passara Chanchotisatien,A5057346373,12,18,Thammasat University
S. Sangchocanonta,A5058826914,12,34,Thammasat University
Hoorieh Fallah,A5059563627,12,142,University of Malaya
Supada Khonyoung,A5061156769,12,128,Center for Innovation
Kanvee Viwatpanich,A5061979656,12,13,Thammasat University
Parnthep Julnipitawong,A5062605652,12,276,Thammasat University
Suphachok Buaruk,A5062721515,12,51,Prince of Songkla University
Pimsiri Taylor,A5064121800,12,47,Thammasat University
Piti Pita,A5064453437,12,93,Thammasat University
Manisha Poudyal,A5066487445,12,545,Thammasat University
Sutamat Khajeeram,A5066938455,12,170,National Science and Technology Development Agency
Kritsadarat Wattanasuwan,A5068943019,12,913,Thammasat University
Prakasith Kayasith,A5071036062,12,68,Hodges University
Sirikan Chucherd,A5072822328,12,19,Mae Fah Luang University Hospital
Rui Zhang,A5073165167,12,49,Thammasat University
Winai Nadee,A5073766686,12,23,Mahidol University
Alisa Sahavacharin,A5074252465,12,203,Chulalongkorn University
Phawinee Nanta,A5074318449,12,153,National Nanotechnology Center
Kanta Pranweerapaiboon,A5075849963,12,130,Thammasat University
Araya Phonghanyudh,A5076449641,12,220,University of the Philippines Manila
Tipamas Chumworatayee,A5078069284,12,35,Thammasat University
Sasikarn Seetasang,A5078995624,12,142,The University of Texas at Arlington
Ekkapak Sriussadaporn,A5079194633,12,91,Thammasat University
Srisuda Pannanusorn,A5079932868,12,213,Mahidol University
Patrick O'Sullivan,A5080418085,12,45,Grenoble Ecole de Management
Worapapar Treesuppharat,A5082789122,12,414,Thammasat University
Rungnapa Warotayanont,A5083466371,12,139,Thammasat University
Thuntida Ngamkham,A5083552265,12,47,University of Calgary
Laksana Laokiat,A5084068687,12,191,Center of Excellence on Hazardous Substance Management
Varapha Kongpensook,A5084451674,12,248,Kasetsart University
Peeradon Vibhatavata,A5085582339,12,52,Mahidol University
Narumol Nirathron,A5086809588,12,84,Thammasat University
Jatupon Em-Udom,A5086813944,12,14,National Science and Technology Development Agency
Rungrawee Mongkolrob,A5087768502,12,107,Mahidol University
Rusama Marubodee,A5087856601,12,110,Rajamangala University of Technology Tawan-ok
Tong Tong,A5100745670,12,68,China Jiliang University
Willie Jones,A5102475887,12,5,Taiwan Semiconductor Manufacturing Company (Taiwan)
Benjamin Moore,A5103783470,12,37,Thammasat University
Prasit Rajbhandari,A5104098336,12,29,Manmohan Memorial Institute of Health Sciences
Suwit Chaisri,A5108681645,12,80,Khon Kaen University
Arunporn Itharat,A5112900598,12,5,Thammasat University
Xiaoli Li,A5119011597,12,10,King Mongkut's University of Technology North Bangkok
Yaowadee Temtanapat,A5001089459,11,62,Laboratoire d'Informatique de Paris-Nord
Roongtip Duangkaew,A5001227246,11,11,Teesside University
Kenika Khotchasanthong,A5004994801,11,2,Thammasat University
Matthew O’Lemmon,A5005007907,11,27,Harbin Institute of Technology
Jirawat Thaenthong,A5005324485,11,22,Thammasat University
Pornthip Wimonsong,A5005836448,11,152,Thammasat University
Milan Tripathi,A5006226215,11,425,Thammasat University
Dana Prianjani,A5006555980,11,54,Sultan Agung Islamic University
Tshering Yangdon,A5007964008,11,111,Centre for Bhutan Studies and GNH Research
Nantaporn Saimai,A5008029803,11,17,Thammasat University
Teerapat Laddawong,A5009553711,11,34,Waseda University
Woraphon Jaroenporn,A5010173137,11,16,Siriraj Hospital
Pattama Sappapan,A5010276519,11,35,Assumption University
Benjarat Tepsongkroh,A5010286676,11,144,Kasetsart University
S.S. Perepelkin,A5010358676,11,52,Kharkiv Institute of Physics and Technology
Sitichoke Amnuanpol,A5011183870,11,12,Thammasat University
Suthinee Rurkkhum,A5011538980,11,380,Thammasat University
Noptanit Chotisarn,A5011576092,11,38,University of Phayao
Natapol Korprasertsak,A5012549380,11,184,Thammasat University
Manit Satitsamitpong,A5013038038,11,30,Waseda University
Suphatra Hiranphinyophat,A5013924833,11,131,Thammasat University
Le Van Dang,A5014795429,11,53,Nanyang Technological University
Nguyễn Trọng Trí Đức,A5015845677,11,18,Thammasat University
Yaowaluk Techarongrojwong,A5017115983,11,60,Assumption University
Kotcharat Kitchat,A5017304871,11,47,Thammasat University
Pakorn Uttayopas,A5017372967,11,17,Thammasat University
Kulwadee Phannachet,A5017407516,11,125,Thammasat University
Suthisak Kraisornsuthasinee,A5017878540,11,143,Thammasat University
Cattleya Duanggate,A5018207132,11,85,Thammasat University
Monthinee Teeramungcalanon,A5019060361,11,32,Thammasat University
Nattha Jariyapamornkoon,A5020727091,11,115,Chulalongkorn University
Muhammad Kashif Ali Shah,A5021311486,11,84,"Government College University, Lahore"
Kid Bhumimuang,A5022274003,11,216,Mahidol University
Prapas Khorphueng,A5023112378,11,69,Chulalongkorn University
Supa Vittaporn,A5023151094,11,28,Mahidol University
Theerachai Thanananta,A5024650171,11,21,Kasetsart University
Krit Jiamjiroch,A5026547557,11,57,University of Nottingham
Srimuang Palungrit,A5028220436,11,7,Mahidol University
Chatkarin Tepwimonpetkun,A5028975777,11,25,Thammasat University Hospital
Lidya Agriningsih Haruna,A5031131136,11,12,Thammasat University
Viwat Puttawanchai,A5031261349,11,77,Thammasat University
Viriya Pankao,A5031611239,11,57,Mahidol University
Theerasak Juagwon,A5031858811,11,16,Mahidol University
Ngoc Hien,A5032353668,11,20,Korea Maritime and Ocean University
Pakkavuth Chanswangphuvana,A5033263042,11,55,Thammasat University
Vachira Jantarach,A5033613920,11,22,Thammasat University
Pattamawan Jimarkon Zilli,A5036557861,11,147,Thammasat University
Kanjanee Phanphairoj,A5040226159,11,27,Chulalongkorn University
Ornanong Tusskorn,A5040460011,11,211,Thammasat University
Jarree Chaicharn,A5041329220,11,103,The University of Melbourne
Saranyou Oontawee,A5041768336,11,45,Chulalongkorn University
Akawat Laowonsiri,A5041826422,11,4,Universität Hamburg
Anat Hasap,A5042712348,11,127,Thammasat University
Aree Taylor,A5043364144,11,68,Thammasat University
Werayut Yingmema,A5043505786,11,345,Thammasat University
Na-Bangchang,A5043537747,11,45,Thammasat University
Juthamas Worachotekamjorn,A5043930117,11,73,Prince of Songkla University
Sapa Chanyachatchawan,A5044188560,11,39,Japan Advanced Institute of Science and Technology
Thunyatorn Yimsoo,A5044611051,11,101,Thammasat University
Amolchaya Kwankua,A5047523906,11,11,Thammasat University Hospital
Waralak Khongouan,A5051131133,11,8,Thammasat University
Chalermwat Tantasavasdi,A5051206678,11,179,Thammasat University
Peamsuk Suvarnakuta,A5051679181,11,635,King Mongkut's University of Technology Thonburi
N. Parry,A5051953164,11,0,Medical University of South Carolina
Chompoonut Kongphunphin,A5053646121,11,25,Thammasat University
Muenpetch Muenkaew,A5053986118,11,55,University of Lausanne
Van-Tan Bui,A5054285765,11,11,National Electronics and Computer Technology Center
Bunpot Sirinutsomboon,A5054460415,11,89,"University of California, Davis"
Piyaporn Chokevittaya,A5055491053,11,25,Thammasat University
Keasinee Tongmark,A5055807278,11,46,National Science and Technology Development Agency
Chanitchote Piyapittayanun,A5056054485,11,44,Thammasat University
Andrew Minto,A5057469955,11,54,University of Dundee
Numfon Eaktasang,A5058425091,11,308,Faculty of Public Health
สิทธิธรรม อ่องวุฒิวัฒน์,A5060210017,11,0,Thammasat University
Somsak Sirirungrojying,A5060369007,11,332,Prince of Songkla University
Duenpim Parisuthiman,A5060826100,11,455,University of North Carolina at Chapel Hill
Amulya Bhattarai,A5060917525,11,32,Assumption University
Munin Pongsapan,A5062122459,11,18,Thammasat University
Songkiat Matupayont,A5063637389,11,53,Thammasat University
Chotika Jumpangern,A5063975019,11,153,Thammasat University
Kamonthip Sereenonchai,A5065368687,11,163,Mahidol University
Nittayapa Klangpornkun,A5065948375,11,61,Thammasat University
Samroeng Inglam,A5066356758,11,6,Thammasat University
Wanrong Lei,A5068749820,11,25,Hunan First Normal University
Panida Kongjam,A5069369930,11,83,Chiang Mai University
Mingchao Cui,A5070060545,11,122,All India Institute of Medical Sciences Jodhpur
Kitti Prasirtsuk,A5070247997,11,127,Thammasat University
Wilasinee Pananakhonsab,A5070348414,11,16,Thammasat University
Sarayut Nathaphan,A5070653604,11,87,Mahidol University
Khanittha Ponsanti,A5070954170,11,251,Thammasat University
Wimonwan Aungsuwan,A5071159685,11,1,Thammasat University
Parisa Prathaphan,A5072315235,11,103,Kasetsart University
Sophapun Ekarattanawong,A5074849217,11,86,Thammasat University
Prachya Punyarat,A5075002615,11,158,"University of California, San Francisco"
Sarun Chattunyakit,A5075065047,11,25,Hokkaido University
Pantitcha Thanatrakolsri,A5075656698,11,74,Thammasat University
Jirawan Jindakaew,A5076571665,11,21,Institut des Sciences Analytiques
Apichit Svang-Ariyaskul,A5076599958,11,355,Georgia Institute of Technology
Sorawit Seehavong,A5077047569,11,213,Thammasat University
Suwan Juntiwasarakij,A5078635154,11,99,Pennsylvania State University
Thanatchaphan Petcharat,A5080437700,11,167,Prince of Songkla University
Anuwat Chaiwongyen,A5080457249,11,30,National Electronics and Computer Technology Center
Santhanee Khruakhorn,A5080968215,11,95,Thammasat University
Boonlawat Homvises,A5081353091,11,82,Siriraj Hospital
Methee Wongsirisuwan,A5082911211,11,32,Rangsit University
Hataiwan Ratanabunjerdkul,A5083944806,11,93,Thammasat University
Choki Dorji,A5084307748,11,53,Teaching Hospital Kandy
Wittawat Yodsomjai,A5085001796,11,285,Thammasat University
Chatchol Kongsinkaew,A5085247335,11,26,Thammasat University
Supakiat Supasin,A5087360249,11,61,Payap University
Chatchai Nensat,A5087629958,11,31,Naresuan University
Auschala Chalayonnavin,A5087960519,11,7,Mahidol University
Priyadharshini Shanmugam,A5088324374,11,86,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH
Adithap Hansakon,A5088702055,11,169,Thammasat University
Nartnirun Junngam,A5090193962,11,7,Thammasat University
Winai Homsombat,A5090482880,11,487,King Mongkut's University of Technology Thonburi
Conference Chair,A5094395929,11,0,King Mongkut's University of Technology North Bangkok
Worrawit Boonthai,A5106798394,11,12,Thammasat University
Piya Pinsornsak,A5108605805,11,229,Thammasat University
Patcharaporn Thitiwongsawet,A5110185140,11,35,Thammasat University
Ratha-korn Vilaichone,A5110231103,11,277,Thammasat University Hospital
Waipoj Chanvimalueng,A5110626950,11,73,Weatherford College
Sasithorn Suwandee,A5110734587,11,63,Kasem Bundit University
Vivian Hawkins,A5111822827,11,348,Washington State Department of Health
Ahmed Daniyaal Rasheed,A5112474022,11,17,MedStar Washington Hospital Center
Asjad Khan,A5112708455,11,275,NewYork–Presbyterian Brooklyn Methodist Hospital
Pantid Chantangphol,A5000023325,10,58,Silpakorn University
Pongsagon Vichitvejpaisal,A5000198730,10,34,Chulalongkorn University
Wantanee Sittiwong,A5000289506,10,103,Thammasat University
Pornthip Chompook,A5001050838,10,178,London School of Hygiene & Tropical Medicine
Girma Akalu,A5001454819,10,236,Lund University
P. Mahachoklertwattana,A5001577055,10,73,The Ohio State University
Phuntsho Dendup,A5001613723,10,27,Thammasat University
Boonvadee Petcharat,A5002693650,10,3,Thammasat University
Rashmi Turior,A5004992801,10,123,Thammasat University
Kanyalag Phodong,A5005253241,10,17,Rajamangala University of Technology
A. Srisuthep,A5005399697,10,121,Oregon Health & Science University
Waroot Pholsawatchai,A5005657310,10,45,Hodges University
Rathana Lorm,A5005910969,10,65,Institute of Technology of Cambodia
Somchai Viriyayudhakorn,A5006085571,10,137,Thammasat University
Watunyu Jaiborisudhi,A5006470638,10,29,Thammasat University
Nitchamon Rakkapao,A5006722734,10,157,Lampang Rajabhat University
Vo Dang Khoa,A5006968377,10,16,Ho Chi Minh City University of Technology
Waraporn Wichaita,A5007378460,10,222,Thammasat University
Katiya Ivanovitch,A5010092192,10,71,Thammasat University
Saswata Roy,A5010425065,10,48,Southwest Jiaotong University
Kitima Srisanga,A5010849017,10,116,Mahidol University
Nuchanart Suealek,A5012267744,10,44,Thammasat University
Bharat Mirchandani,A5013498119,10,62,Datta Meghe Institute of Medical Sciences
Arroon Ketsakorn,A5013530317,10,7,Thammasat University
Thipsuree Kornboonraksa,A5014488479,10,124,Burapha University
Vy Le,A5015312002,10,41,Oregon Health & Science University
Pavinee Rerkjirattikal,A5015489991,10,58,Japan Advanced Institute of Science and Technology
Giang T.T. Le,A5015987225,10,296,Thammasat University
Phaksachiphon Khanthong,A5016540974,10,30,Hodges University
Kusuma Pinsuwan,A5017329951,10,117,Chulalongkorn University
Tanawan Saimai,A5018026590,10,16,Thammasat University
Wannipat Buated,A5019668650,10,34,Chulalongkorn University
Vanney Keo,A5019922652,10,200,Cambodia National Malaria Center
Taweesak Kijkanjanarat,A5020206231,10,48,Thammasat University
Thanakrit Sathavornmanee,A5020222761,10,36,Thammasat University Hospital
Jiroj Buranasiri,A5022660328,10,21,Thammasat University
Jutamas Wongkantarakorn,A5022846860,10,63,Rajamangala University of Technology Rattanakosin
Anucha Tangthangtham,A5025318649,10,46,Ministry of Public Health
Suwan Tongphu,A5025837778,10,49,Asian Institute of Technology
Patcharin Saengjaruk,A5027562936,10,198,Mahidol University
Panipak Temboonnark,A5028811985,10,31,Mahidol University
Ornprapa Anugoolprasert,A5029289759,10,40,Mie University
Haleema Sadia,A5029634593,10,99,Thammasat University
Kalaya Aree,A5029938415,10,148,Thammasat University
Oratai Yamaod,A5030098804,10,78,Thammasat University
Narissaporn Chaiprakit,A5031930193,10,11,Thammasat University Hospital
Phatham Loahavilai,A5032190108,10,23,Thammasat University
Puchong Likittanasombut,A5033533541,10,129,Thammasat University
Chaiyuth Punyasavatsut,A5034370769,10,41,Thammasat University
Rattana Tiengtip,A5036017351,10,98,Thammasat University
Monthon Kanokpermpoon,A5036680533,10,35,Thammasat University
Prakornchai Phonrattanasak,A5037620465,10,128,North Eastern University
Ekachidd Chungcharoen,A5038317713,10,23,University of Waterloo
Chatrin Phunruangsakao,A5038858984,10,64,Tohoku University
Krittiya Lertpocasombut,A5040716232,10,35,Asian Institute of Technology
Supat Saetia,A5042243284,10,116,National Center of Neurology and Psychiatry
Preeti Waribam,A5043321777,10,218,Pathumthani University
Chainarong Chaktranond,A5043612665,10,83,The University of Tokyo
Ting Zhou,A5043878181,10,64,Shanghai Ninth People's Hospital
Lalana Kongkaneramit,A5044275149,10,479,Srinakharinwirot University
Thanus Pienthong,A5044514955,10,14,Thammasat University
Phawit Norchai,A5045184635,10,3,Thammasat University
Pakpoom Patompak,A5045407397,10,108,Thammasat University
Wanwisa Wongmaneepratip,A5045743849,10,405,Kasetsart University
Sirintra Arayawate,A5046675204,10,44,Thammasat University
Phakpoom Tippakoon,A5046769079,10,28,Thammasat University
Narin Kakatum,A5048430963,10,48,Suan Sunandha Rajabhat University
Sompot Antimanon,A5048957406,10,57,Novo Nordisk Foundation
Sariya Prachukthum,A5049334441,10,51,Thammasat University
Patthaya Rattanakomol,A5049406339,10,157,Armed Forces Research Institute of Medical Science
Suteera Vatthanakul,A5051278062,10,172,Thammasat University
Jaturong Sa-nguanmanasak,A5051452061,10,88,Thammasat University
Saengla Chaimongkol,A5051517310,10,17,Thammasat University
Nattapol Pruetpongpun,A5051977120,10,146,Thammasat University
Dominica del Mundo Dacera,A5053336562,10,449,Thammasat University
Kwankhao Cha-um,A5053527005,10,37,Thammasat University
SangGyu Nam,A5053661278,10,41,Japan Advanced Institute of Science and Technology
Patnaree Srisuphaolarn,A5054183933,10,84,Thammasat University
Patcharin Khamnuan,A5054287942,10,132,ChiangRai Prachanukroh Hospital
Chuanpis Boonkerd,A5054739444,10,43,Thammasat University
Nipapan Malisorn,A5055152803,10,6,University of Benin
Sukanis Chumchuen,A5058140175,10,197,Thammasat University
Putthachat Angnakoon,A5058301504,10,79,University of North Texas
Pongsathorn Sangprasert,A5058845164,10,46,Ministry of Public Health
Sasiporn Tongman,A5059097542,10,78,Chiang Mai University
Veevarin Charoenporn,A5059480414,10,35,Thammasat University Hospital
Piya Siriphant,A5059686274,10,191,National Institutes of Health
Thilina Rajeendre Katugampalage,A5060545951,10,190,National Nanotechnology Center
กิตติพัฒน์ อุโฆษกิจ,A5061794307,10,1,Thammasat University
Lan Le,A5062348218,10,62,Queensland University of Technology
Siriporn Wajjwalku,A5062762142,10,7,Thammasat University
Linh Chi T. Cao,A5063781670,10,45,Thammasat University
Nattapon Wongcumchang,A5064941172,10,51,Thammasat University
Pawee Jenweeranon,A5065473891,10,76,Thammasat University
Suttichai Visuttichaikit,A5066750988,10,33,Thammasat University Hospital
Kan Wongkamhaeng,A5068328618,10,88,University of Iowa
Busara Piriyanont,A5069148306,10,121,University of Newcastle Australia
Sanpatchaya Sirisawasd,A5071605121,10,130,Thammasat University
Thodsaporn Chay-intr,A5073229374,10,17,Tokyo Institute of Technology
Eigil Sørensen,A5073858139,10,134,UNSW Sydney
Chuenchom Chueluecha,A5074010417,10,12,Thammasat University
Porapak Suriya,A5074847186,10,102,University of Manchester
Poomporn Thamsatitdej,A5076557133,10,76,Mahidol University
Ruankwan Kanhasing,A5076774288,10,23,Thammasat University
